country,city,density
Afghanistan,Kabul,56.93776001
Albania,Tirana,104.6122628
Algeria,Alger,17.73007507
American Samoa,Fagatogo,277.325
Andorra,Andorra la Vella,163.8425532
Angola,Luanda,24.71305206
Anguilla,The Valley,167
Antarctica,None,0.0035
Antigua and Barbuda,Saint John's,218.8318182
Argentina,Buenos Aires,16.2585101
Armenia,Yerevan,103.6802248
Aruba,Oranjestad,588.0277778
Australia,Canberra,3.249129487
Austria,Wien,107.2069267
Azerbaijan,Baku,120.2653199
Bahamas,Nassau,38.52547453
Bahrain,al-Manama,2017.2737
Bangladesh,Dhaka,1239.579312
Barbados,Bridgetown,666.6069767
Belarus,Minsk,46.7287999
Belgium,Bruxelles [Brussel],377.2149273
Belize,Belmopan,16.79399386
Benin,Porto-Novo,101.8539198
Bermuda,Hamilton,1184.592572
Bhutan,Thimphu,19.77752777
Bolivia,La Paz,10.48014585
Bosnia and Herzegovina,Sarajevo,64.92048828
Botswana,Gaborone,3.977424876
Bouvet Island,None,0
Brazil,Brasília,25.06171624
British Indian Ocean Territory,None,58.3
Brunei,Bandar Seri Begawan,81.39696395
Bulgaria,Sofia,64.70353721
Burkina Faso,Ouagadougou,72.19128289
Burundi,Bujumbura,435.178271
Cambodia,Phnom Penh,92.05641287
Cameroon,Yaounde,53.34398891
Canada,Ottawa,4.075308214
Cape Verde,Praia,134.9297767
Cayman Islands,George Town,267.3916667
Central African Republic,Bangui,7.490412212
Chad,N'Djamena,12.29173364
Chile,Santiago de Chile,25.18944607
China,Peking,148.3488333
Christmas Island,Flying Fish Cove,10.39
Cocos (Keeling) Islands,West Island,40.46
Colombia,Santaf,44.74870212
Comoros,Moroni,447.2444775
Congo,Brazzaville,15.35684627
Cook Islands,Avarua,73
Costa Rica,San José,97.91306306
Croatia,Zagreb,73.077198
Cuba,La Habana,108.9995962
Cyprus,Nicosia,128.7083333
Czech Republic,Praha,137.6028879
Denmark,Copenhagen,138.0673017
Djibouti,Djibouti,41.36842105
Dominica,Roseau,95.5
Dominican Republic,Santo Domingo de Guzm,219.9785759
East Timor,Dili,85.27
Ecuador,Quito,68.78868175
Egypt,Cairo,98.87346929
El Salvador,San Salvador,309.8814672
England,London,259
Equatorial Guinea,Malabo,46.66573975
Eritrea,Asmara,35
Estonia,Tallinn,30.38610536
Ethiopia,Addis Abeba,109.224559
Falkland Islands,Stanley,0.28
Faroe Islands,Tórshavn,34.73996983
Fiji Islands,Suva,48.35703339
Finland,Helsinki [Helsingfors],18.15685565
France,Paris,122.3383957
French Guiana,Cayenne,3.5
French Polynesia,Papeete,75.86857923
French Southern territories,None,0
Gabon,Libreville,8.224764233
Gambia,Banjul,225.3065217
Georgia,Tbilisi,65.27520207
Germany,Berlin,237.3709698
Ghana,Accra,130.8214292
Gibraltar,Gibraltar,3371.8
Greece,Athenai,83.22473235
Greenland,Nuuk,0.136496528
Grenada,Saint George's,327.8058824
Guadeloupe,Basse-Terre,243.1
Guam,Aga,306.9777778
Guatemala,Ciudad de Guatemala,160.9537794
Guinea,Conakry,50.52221227
Guinea-Bissau,Bissau,66.65394737
